hood_T,other_T,color,shade ,finish,make,model,cloudiness,license,state,comments,"Group, Name",
150.2,158,Baby blue,None,Glossy,Fiat,F500,No,AZM5019,AZ,,Anmol,
139.5,114.3,white,None,Glossy,Ford,Explorer,No,BZT3067,AZ,,Anmol,
196.4,170.4,Green,None,Glossy,Honda,Accord,No,604XED,AZ,,Anmol,
169.8,157.9,Purple,No,Glossy,Honda,Fit,No,CCY148,CA,,Anmol,
169.1,142.7,Maroon,No,Glossy,Volvo,S80,No,CBJ9723,AZ,,Anmol,
119.9,111.5,White,No,Glossy,Toyota,Prius,No,BHY9180,AZ,,Anmol,
144.4,137.6,Silver,No,Glossy,Nissan,Altima,No,BW10590,AZ,,Anmol,
123.9,123,Silver,No,Glossy,Subaru,Impreza,No,BWR6875,Az,,Anmol,
140.1,133.1,Silver,No,,Buick,,No,EMPCO,AZ,,3rd Floor (Dan),
167.7,176,Red,No,,Chevy,HHR,No,BHE4005,AZ,,3rd Floor (Dan),
168.5,154.5,Light Blue,No,,BMW,Z3,No,CCE8725,AZ,,3rd Floor (Dan),
140.9,123.5,Silver,No,Glossy,Toyota,Matrix,No,5MHM8B,CA,,Anmol,
183.4,161.2,Black,No,Glossy,Nissan,Sentra,No,BNT6169,AZ,,Anmol,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
99.2,96.8,silver,y,reflective,Honda,crv,s,CHG5292,AZ,,sean,
113,94.7,silver,y,reflective,Honda,accord hybrid,s,LUCHA,CA,,sean,
94.9,94.9,black,y,reflective,RangeRover,evoque,s,7NKK93,CA,,sean,
94.6,94.3,grey,y,semi-matte,?,?,s,CHH5686,AZ,,sean,
93.2,93.7,black,y,reflective,Toyota,rav4,s,546XVM,AZ,,sean,
92.5,92.6,silver,y,reflective,Honda,civic,s,CEJ8209,AZ,,sean,
92.6,92.8,blue-grey,y,reflective,Kia,sportage,s,FSO861,CO,,sean,
102.4,93,black,y,reflective,mini,cooper,s,BB OREO,AZ,,sean,
95.6,92.5,black,y,reflective,bmw,75-0Li,s,GLX2836,TX,,sean,
95.1,92.4,blue-green,y,reflective,ford,fusion,s,OVK360,CO,,sean,
94.1,92.3,black,y,reflective,bmw,228i,s,CGB2361,AZ,,sean,
94.6,91.5,gold,y,reflective,honda,accord,s,AXL2971,AZ,,sean,
91.7,93.7,black,y,dusty,audi,?,s,BPL7401,AZ,,sean,
91.9,91.7,red,y,reflective,honda,civic,s,BJJ7863,WA,,sean,
97.7,91.7,white,y,matte,toyota,rav4,s,CCX5152,AZ,,sean,
102.3,92.5,maroon,y,reflective,gmc,terrain,s,BYU3979,MI,,sean,
95.5,91.5,dark green,y,reflective,chevy,?,s,04627H,AZ,,sean,
91.9,91.8,white,y,matte,chevy,cruze,s,CEJ6229,AZ,,sean,
92,92.1,red,y,reflective,ford,F150,s,907347A,AZ,,sean,
175.2,155.9,black,n,reflective,toyota,4rav,s,BXL2368,AZ,,sean,
141.3,129.5,silver,n,reflective,toyota,corrolla,s,3XEX897,CA,,sean,
130.6,124.2,white,n,reflective,honda,civic,s,RGW2608,AZ,,sean,
166.2,159.1,blue-grey,n,reflective,toyota,corrolla,s,CDV1970,AZ,,sean,
166.6,145.8,grey,n,reflective,ford,mustang,s,BGL4978,AZ,,sean,
164.3,144.2,red,n,reflective,kia,soul,s,BRH1761,AZ,,sean,
177.9,149.9,green,n,reflective,scion,aB,s,BXH0772,AZ,,sean,
175,151.6,black,n,reflective,nissan,segtoa,s,BZG4065,AZ,,sean,
119.9,126.2,white,n,reflective,kia,rio,s,CAP9895,AZ,,sean,
141,151,blue,n,matte,ford,sport,s,A726355,AZ,,sean,
110.3,129.7,white,n,reflective,scion,tc,s,RTPBSTY,AZ,,sean,
134.8,139.8,gold,n,reflective,toyota,highlander,s,PKG6332,AZ,,sean,
174.6,151.6,dark grey,n,reflective,hyundai,senata,s,BXH5630,AZ,,sean,
171.9,156.4,black,n,reflective,chevy,silverado,s,BKBG705,AZ,,sean,
188.6,183.7,Black,No,,Mitsubishi,Overland,No,BEN0820,AZ,,3rd Floor (Dan),
128.9,127.4,White,No,,Nissan,Versa,No,T5431,AZ,,3rd Floor (Dan),
166.1,149.1,Orange,No,,Mini,Cooper,No,BJW2306,AZ,,3rd Floor (Dan),
153.6,135.7,Tan,No,,Jeep,Wrangler,No,T2588,AZ,,3rd Floor (Dan),
141.4,119.6,Pink,No,,Fiat,500,No,B5X3308,AZ,,3rd Floor (Dan),
98,91.6,Blue,Yes,,Mini Cooper,S,No,BC753,AZ,,3rd Floor (Dan),
102.6,91.5,Blue,Yes,,Toyota,Tacoma,No,CAC3780,AZ,,3rd Floor (Dan),
100.5,91.7,White,Yes,,Audi ,A4,No,BWH9296,AZ,,3rd Floor (Dan),
95.1,91.4,White,Yes,,Acura ,RSX,No,AFX2000,AZ,,3rd Floor (Dan),
97.6,91.5,Dark Grey,Yes,,Saturn,Sky,No,RT1980,AZ,,3rd Floor (Dan),
95,93.1,Dark Grey,Yes,,Ford,F150,No,CDV1964,AZ,,3rd Floor (Dan),
118.2,115.5,White,No,Flat,Delivery,Truck,No,G-164CM,AZ,,Fourth Floor,
157.4,157.5,Red,No,Pearl,Buick,Century,No,AXE9024,AZ,,Fourth Floor,
154.4,135.6,Blue,No,Pearl,BMW,Z3,No,CC38723,AZ,,Fourth Floor,
166.2,148.6,Blue,No,Pearl,Ford,F150,No,BAT486,AZ,,Fourth Floor,
150.4,136.2,White,No,Flat,Dodge,Stratus,No,FER986,AZ,,Fourth Floor,
95.5,91.2,Black,Yes,Pearl,Mercedes,MC750,No,CUDDLR,AZ,,Fourth Floor,
97.8,92.2,White,Yes,Pearl,Chevy,Colorado,No,CXYZ963,AZ,,Fourth Floor,
101.1,94.5,Black,Yes,Pearl,Audi,A4,No,BAF9731,AZ,,Fourth Floor,
95.9,91.5,White,Yes,Pearl,Volkswagon,Jetta,No,BAL7482,AZ,,Fourth Floor,
115.7,92,Blue,Yes,Pearl,Mini Cooper,Cooper,No,BTS1385,AZ,,Fourth Floor,
135.5,128,White,No,Flat,Jeep,Cherokee,No,amz29988,AZ,,Fourth Floor,
151,155,Grey,No,Pearl,Hyundai,Tucson,No,BCP2755,AZ,,Fourth Floor,
188.1,172.2,Purple,No,Pearl,Honda,Fit,No,CCY1481,AZ,,Fourth Floor,
157.8,157.8,Blue,No,Pearl,Hona,CRZ,No,brc3658,AZ,,Fourth Floor,
167.2,158.7,Red,No,Pearl,Volvo,S80,No,CBJ823,AZ,,Fourth Floor,
172.5,180.3,Blue,No,Pearl,Chevy,Impala,No,bew1122,AZ,,Fourth Floor,
186.2,186.2,Blue,No,Flat,Infiniti,M35,No,btf3174,AZ,,Fourth Floor,
98.2,98.2,Blue,Yes,Pearl,Honda,Civic,No,bwy9056,AZ,,Fourth Floor,
104,91,Grey,Yes,Flat,BMW,328i,No,S216HH,AZ,,Fourth Floor,
109.4,96.9,Black,Yes,Pearl,Mazda,Miata,No,1701MX5,AZ,,Fourth Floor,
104,94.1,Black,Yes,Pearl,Ford,Mustang,No,AWL2896,AZ,,Fourth Floor,
113.7,94.9,Green,Yes,Pearl,Volkswagon,Bug,No,BUB9160,AZ,,Fourth Floor,
102.6,96.3,Red,Yes,Pearl,Ford,Mustang,No,CDLT0425,AZ,,Fourth Floor,
103.1,94.8,Charcoal,Yes,Pearl,Subaru,Forester,No,CRTM4700,AZ,,Fourth Floor,
,,,,,,,,,,,,
,,,,,,,,,,,,
